Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cell line]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [cell line]	Term Source REF	Term Accession Number
GSM2069531 1	Replicate 2 idat  9255013011	VCaP, 48hrs MDV3100	VdG80	VCaP	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069531 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069531 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069531	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-38	ArrayExpress	GSM2069531_sample_table.txt norm	GSM2069531_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	VCaP	  	        
GSM2069530 1	Replicate 1 idat  9257302016	VCaP, 48hrs MDV3100	VdG20	VCaP	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069530 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069530 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069530	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-37	ArrayExpress	GSM2069530_sample_table.txt norm	GSM2069530_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	VCaP	  	        
GSM2069529 1	Replicate 4 idat  9257302030	LNCaP, Parental Untreated	VdG32	LNCAP	EFO	EFO_0002071	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069529 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069529 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069529	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-36	ArrayExpress	GSM2069529_sample_table.txt norm	GSM2069529_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LNCAP	EFO	EFO_0002071
GSM2069528 1	Replicate 3 idat  9257302001	LNCaP, Parental Untreated	VdG2	LNCAP	EFO	EFO_0002071	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069528 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069528 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069528	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-35	ArrayExpress	GSM2069528_sample_table.txt norm	GSM2069528_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LNCAP	EFO	EFO_0002071
GSM2069527 1	Replicate 2 idat  9257302016	LNCaP, Parental Untreated	VdG15	LNCAP	EFO	EFO_0002071	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069527 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069527 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069527	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-34	ArrayExpress	GSM2069527_sample_table.txt norm	GSM2069527_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LNCAP	EFO	EFO_0002071
GSM2069526 1	Replicate 1 idat  9255013011	LNCaP, Parental Untreated	VdG79	LNCAP	EFO	EFO_0002071	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069526 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069526 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069526	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-33	ArrayExpress	GSM2069526_sample_table.txt norm	GSM2069526_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LNCAP	EFO	EFO_0002071
GSM2069525 1	Replicate 4 idat  9257302051	LNCaP, 48hrs MDV3100	VdG48	LNCAP	EFO	EFO_0002071	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069525 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069525 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069525	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-32	ArrayExpress	GSM2069525_sample_table.txt norm	GSM2069525_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LNCAP	EFO	EFO_0002071
GSM2069524 1	Replicate 3 idat  9255013011	LNCaP, 48hrs MDV3100	VdG82	LNCAP	EFO	EFO_0002071	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069524 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069524 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069524	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-31	ArrayExpress	GSM2069524_sample_table.txt norm	GSM2069524_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LNCAP	EFO	EFO_0002071
GSM2069523 1	Replicate 2 idat  9256321010	LNCaP, 48hrs MDV3100	VdG57	LNCAP	EFO	EFO_0002071	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069523 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069523 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069523	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-30	ArrayExpress	GSM2069523_sample_table.txt norm	GSM2069523_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LNCAP	EFO	EFO_0002071
GSM2069522 1	Replicate 1 idat  9257302016	LNCaP, 48hrs MDV3100	VdG13	LNCAP	EFO	EFO_0002071	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069522 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069522 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069522	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-29	ArrayExpress	GSM2069522_sample_table.txt norm	GSM2069522_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LNCAP	EFO	EFO_0002071
GSM2069521 1	Replicate 4 idat  9257302016	LNCaP, MDV3100-Resistant	VdG23	LNCAP	EFO	EFO_0002071	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069521 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069521 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069521	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-28	ArrayExpress	GSM2069521_sample_table.txt norm	GSM2069521_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LNCAP	EFO	EFO_0002071
GSM2069520 1	Replicate 3 idat  9256321012	LNCaP, MDV3100-Resistant	VdG69	LNCAP	EFO	EFO_0002071	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069520 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069520 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069520	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-27	ArrayExpress	GSM2069520_sample_table.txt norm	GSM2069520_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LNCAP	EFO	EFO_0002071
GSM2069519 1	Replicate 2 idat  9257302001	LNCaP, MDV3100-Resistant	VdG11	LNCAP	EFO	EFO_0002071	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069519 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069519 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069519	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-26	ArrayExpress	GSM2069519_sample_table.txt norm	GSM2069519_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LNCAP	EFO	EFO_0002071
GSM2069518 1	Replicate 1 idat  9257302030	LNCaP, MDV3100-Resistant	VdG36	LNCAP	EFO	EFO_0002071	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069518 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069518 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069518	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-25	ArrayExpress	GSM2069518_sample_table.txt norm	GSM2069518_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LNCAP	EFO	EFO_0002071
GSM2069517 1	Replicate 4 idat  9257302016	LAPC-4, MDV3100-Resistant	VdG16	LAPC-4	EFO	EFO_0005392	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069517 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069517 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069517	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-24	ArrayExpress	GSM2069517_sample_table.txt norm	GSM2069517_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LAPC-4	EFO	EFO_0005392
GSM2069516 1	Replicate 3 idat  9256321012	LAPC-4, MDV3100-Resistant	VdG67	LAPC-4	EFO	EFO_0005392	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069516 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069516 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069516	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-23	ArrayExpress	GSM2069516_sample_table.txt norm	GSM2069516_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LAPC-4	EFO	EFO_0005392
GSM2069515 1	Replicate 2 idat  9256321010	LAPC-4, MDV3100-Resistant	VdG52	LAPC-4	EFO	EFO_0005392	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069515 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069515 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069515	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-22	ArrayExpress	GSM2069515_sample_table.txt norm	GSM2069515_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LAPC-4	EFO	EFO_0005392
GSM2069514 1	Replicate 1 idat  9257302030	LAPC-4, MDV3100-Resistant	VdG26	LAPC-4	EFO	EFO_0005392	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069514 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069514 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069514	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-21	ArrayExpress	GSM2069514_sample_table.txt norm	GSM2069514_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LAPC-4	EFO	EFO_0005392
GSM2069513 1	Replicate 4 idat  9257302030	LAPC-4, Parental Untreated	VdG31	LAPC-4	EFO	EFO_0005392	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069513 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069513 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069513	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-20	ArrayExpress	GSM2069513_sample_table.txt norm	GSM2069513_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LAPC-4	EFO	EFO_0005392
GSM2069512 1	Replicate 3 idat  9255013011	LAPC-4, Parental Untreated	VdG81	LAPC-4	EFO	EFO_0005392	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069512 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069512 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069512	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-19	ArrayExpress	GSM2069512_sample_table.txt norm	GSM2069512_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	LAPC-4	EFO	EFO_0005392
