chr10:100143465|100144824	hsa_circ_0092377
chr10:104459129|104465246	hsa_circ_0092494
chr10:104486368|104486914	hsa_circ_0019765
chr10:1044942|1046808	hsa_circ_0017421
chr10:1044942|1053068	hsa_circ_0017422
chr10:1044942|1055520	hsa_circ_0017423
chr10:104569649|104569811	hsa_circ_0019770
chr10:104632204|104632990	hsa_circ_0092495
chr10:104632204|104634418	hsa_circ_0019773
chr10:104632204|104634957	hsa_circ_0092496
chr10:104632204|104638748	hsa_circ_0092497
chr10:104636710|104638748	hsa_circ_0019774
chr10:104636710|104650435	hsa_circ_0092498
chr10:104638135|104638748	hsa_circ_0092499
chr10:1046616|1046808	hsa_circ_0017424
chr10:1046616|1046953	hsa_circ_0017425
chr10:1046616|1051847	hsa_circ_0092501
chr10:1046616|1053068	hsa_circ_0017426
chr10:1046616|1055520	hsa_circ_0017427
chr10:104809463|104816721	hsa_circ_0092503
chr10:104809463|104828479	hsa_circ_0019776
chr10:104809463|104831596	hsa_circ_0092504
chr10:104809463|104836027	hsa_circ_0092505
chr10:104828385|104836027	hsa_circ_0019777
chr10:104851320|104854212	hsa_circ_0019779
chr10:104853066|104853728	hsa_circ_0092510
chr10:104853728|104854212	hsa_circ_0092511
chr10:104858687|104861083	hsa_circ_0019784
chr10:104859682|104866463	hsa_circ_0092513
chr10:104859682|104934739	hsa_circ_0092514
chr10:104860991|104934739	hsa_circ_0019786
chr10:104899162|104934739	hsa_circ_0019787
chr10:104899162|104941085	hsa_circ_0092515
chr10:104934614|104934739	hsa_circ_0019788
chr10:105073942|105086389	hsa_circ_0019791
chr10:105073942|105093709	hsa_circ_0019792
chr10:105073942|105107207	hsa_circ_0019794
chr10:105086290|105099378	hsa_circ_0019795
chr10:105104780|105108756	hsa_circ_0019798
chr10:105106994|105107207	hsa_circ_0019799
chr10:105106994|105108756	hsa_circ_0005052
chr10:105108472|105108756	hsa_circ_0019803
chr10:105133114|105139776	hsa_circ_0092520
chr10:105133114|105141598	hsa_circ_0092521
chr10:105137991|105139776	hsa_circ_0092522
chr10:105151947|105152040	hsa_circ_0019811
chr10:105151947|105152223	hsa_circ_0019812
chr10:105158172|105198565	hsa_circ_0019814
chr10:105160153|105198565	hsa_circ_0019815
chr10:105160212|105163006	hsa_circ_0092526
chr10:105165741|105166547	hsa_circ_0092527
chr10:105165741|105169563	hsa_circ_0092528
chr10:1051757|1053068	hsa_circ_0017429
chr10:105177548|105187148	hsa_circ_0019842
chr10:105177548|105198565	hsa_circ_0019843
chr10:105187085|105194732	hsa_circ_0019852
chr10:105197771|105198565	hsa_circ_0000258
chr10:105197771|105199625	hsa_circ_0019855
chr10:105199502|105200338	hsa_circ_0019861
chr10:105199502|105200607	hsa_circ_0003366
chr10:105330628|105345113	hsa_circ_0092530
chr10:105365554|105377071	hsa_circ_0092532
chr10:105371337|105372947	hsa_circ_0019867
chr10:105371337|105377071	hsa_circ_0019868
chr10:105371337|105420872	hsa_circ_0019869
chr10:105371337|105452814	hsa_circ_0019870
chr10:105376953|105420872	hsa_circ_0019871
chr10:105382226|105420872	hsa_circ_0005620
chr10:105382226|105452814	hsa_circ_0019874
chr10:1055468|1058602	hsa_circ_0017430
chr10:105664848|105670380	hsa_circ_0019880
chr10:105750432|105752891	hsa_circ_0005321
chr10:105752741|105758729	hsa_circ_0019883
chr10:105759624|105778047	hsa_circ_0092536
chr10:105767934|105778666	hsa_circ_0000259
chr10:105767934|105781491	hsa_circ_0092537
chr10:105777917|105778666	hsa_circ_0019884
chr10:105777917|105781491	hsa_circ_0092538
chr10:105778541|105781491	hsa_circ_0092539
chr10:105779491|105781491	hsa_circ_0092540
chr10:105819876|105823576	hsa_circ_0019953
chr10:105891088|105920920	hsa_circ_0092541
chr10:105891088|105924058	hsa_circ_0092542
chr10:105900599|105924058	hsa_circ_0092544
chr10:105974016|105985315	hsa_circ_0092551
chr10:106019333|106022835	hsa_circ_0009067
chr10:106037651|106039229	hsa_circ_0019975
chr10:106865154|106907554	hsa_circ_0092558
chr10:106970894|107007089	hsa_circ_0092569
chr10:108357108|108380319	hsa_circ_0092584
chr10:108366923|108380319	hsa_circ_0092586
chr10:108371668|108380319	hsa_circ_0092588
chr10:108377906|108380319	hsa_circ_0019979
chr10:108412139|108448096	hsa_circ_0092591
chr10:108427446|108448092	hsa_circ_0092592
chr10:108427446|108469099	hsa_circ_0019981
chr10:108447949|108469099	hsa_circ_0019983
chr10:108458971|108469099	hsa_circ_0019985
chr10:108489807|108536450	hsa_circ_0092594
chr10:108521345|108536450	hsa_circ_0092595
chr10:108716270|108762537	hsa_circ_0092596
chr10:10888025|10961962	hsa_circ_0092597
chr10:109800118|109813247	hsa_circ_0002384
chr10:109800118|109818675	hsa_circ_0004710
chr10:109800118|109871360	hsa_circ_0003138
chr10:109800118|109871374	hsa_circ_0003993
chr10:109830214|109871360	hsa_circ_0002270
chr10:110155538|110157018	hsa_circ_0008963
chr10:110155538|110212961	hsa_circ_0006210
chr10:1102287|1118233	hsa_circ_0092600
chr10:11071970|11072933	hsa_circ_0092605
chr10:11084648|11084834	hsa_circ_0092608
chr10:11098480|11098589	hsa_circ_0092612
chr10:11098480|11098630	hsa_circ_0092613
chr10:11137994|11138113	hsa_circ_0092621
chr10:111628371|111630662	hsa_circ_0092622
chr10:111633124|111635357	hsa_circ_0019994
chr10:111667448|111674857	hsa_circ_0020001
chr10:1117078|1118233	hsa_circ_0000204
chr10:1118055|1123943	hsa_circ_0017437
chr10:1118055|1126416	hsa_circ_0017438
chr10:1118055|1132297	hsa_circ_0017439
chr10:1118055|1142186	hsa_circ_0000205
chr10:1118055|1151207	hsa_circ_0017441
chr10:111835375|111839055	hsa_circ_0092623
chr10:111860382|111860606	hsa_circ_0020005
chr10:111860382|111872673	hsa_circ_0092624
chr10:111860382|111877180	hsa_circ_0092625
chr10:111860382|111879322	hsa_circ_0020006
chr10:111860382|111882050	hsa_circ_0092626
chr10:111860382|111890244	hsa_circ_0092627
chr10:111876016|111886261	hsa_circ_0020007
chr10:111878344|111886261	hsa_circ_0092628
chr10:111878968|111882050	hsa_circ_0020009
chr10:111878968|111890244	hsa_circ_0092629
chr10:111883774|111886261	hsa_circ_0092630
chr10:111883774|111890244	hsa_circ_0003357
chr10:111883774|111892158	hsa_circ_0092631
chr10:111884013|111885703	hsa_circ_0092632
chr10:111885583|111890244	hsa_circ_0020010
chr10:112038937|112039843	hsa_circ_0092634
chr10:11203971|11204132	hsa_circ_0092635
chr10:112045408|112045695	hsa_circ_0092636
chr10:11207448|11207645	hsa_circ_0092637
chr10:11207448|11259470	hsa_circ_0092638
chr10:11207448|11291164	hsa_circ_0092639
chr10:11207448|11299835	hsa_circ_0092640
chr10:11207448|11330515	hsa_circ_0017678
chr10:11207448|11371060	hsa_circ_0017679
chr10:112262478|112266912	hsa_circ_0003987
chr10:11226570|11226720	hsa_circ_0092645
chr10:112327589|112328695	hsa_circ_0092646
chr10:112332537|112333503	hsa_circ_0092648
chr10:112338385|112352981	hsa_circ_0092649
chr10:112349362|112350890	hsa_circ_0092651
chr10:112349362|112352981	hsa_circ_0092652
chr10:112350748|112352981	hsa_circ_0020021
chr10:112352830|112358048	hsa_circ_0020022
chr10:112356155|112358048	hsa_circ_0000260
chr10:112356155|112363048	hsa_circ_0020023
chr10:1123846|1132297	hsa_circ_0017442
chr10:1123846|1142186	hsa_circ_0017443
chr10:1123846|1151207	hsa_circ_0017444
chr10:112540558|112544647	hsa_circ_0092655
chr10:112540558|112559676	hsa_circ_0092656
chr10:11259387|11291164	hsa_circ_0092657
chr10:11259387|11299835	hsa_circ_0092658
chr10:11259387|11312787	hsa_circ_0092659
chr10:11259387|11317083	hsa_circ_0092660
chr10:11259387|11330515	hsa_circ_0092661
chr10:1125950|1126416	hsa_circ_0004277
chr10:1125950|1132297	hsa_circ_0017446
chr10:1125950|1142186	hsa_circ_0017447
chr10:1125950|1151207	hsa_circ_0017450
chr10:1125950|1170964	hsa_circ_0017451
chr10:1126351|1142186	hsa_circ_0017452
chr10:112640990|112647644	hsa_circ_0092662
chr10:112640990|112650428	hsa_circ_0092663
chr10:112640990|112657896	hsa_circ_0092664
chr10:112645010|112650428	hsa_circ_0020024
chr10:112647422|112657896	hsa_circ_0092665
chr10:112653848|112657896	hsa_circ_0092666
chr10:112663894|112664004	hsa_circ_0092668
chr10:112711365|112724819	hsa_circ_0092670
chr10:112711365|112745523	hsa_circ_0092671
chr10:112723882|112724819	hsa_circ_0000261
chr10:112723882|112745523	hsa_circ_0020028
chr10:112723882|112760303	hsa_circ_0092672
chr10:112723882|112769143	hsa_circ_0020029
chr10:112723882|112769588	hsa_circ_0020030
chr10:112760172|112764552	hsa_circ_0020032
chr10:112760172|112767411	hsa_circ_0092673
chr10:112760172|112769143	hsa_circ_0092674
chr10:11291115|11299835	hsa_circ_0092677
chr10:11291115|11312787	hsa_circ_0092679
chr10:11291115|11317083	hsa_circ_0092680
chr10:11291115|11330515	hsa_circ_0092681
chr10:11299700|11312787	hsa_circ_0092683
chr10:11299700|11317083	hsa_circ_0092684
chr10:11299700|11330515	hsa_circ_0092685
chr10:1130342|1132297	hsa_circ_0017454
chr10:1130342|1142186	hsa_circ_0000206
chr10:1130342|1149776	hsa_circ_0017455
chr10:1130342|1151181	hsa_circ_0017456
chr10:1130342|1151207	hsa_circ_0007796
chr10:1130342|1170292	hsa_circ_0017457
chr10:11308560|11312787	hsa_circ_0092686
chr10:11308560|11317083	hsa_circ_0092687
chr10:11308560|11330515	hsa_circ_0092688
chr10:11308560|11371060	hsa_circ_0092689
chr10:11312628|11330515	hsa_circ_0017680
chr10:11317019|11330515	hsa_circ_0017681
chr10:11330444|11363251	hsa_circ_0092693
chr10:11356101|11363349	hsa_circ_0092694
chr10:11356101|11367942	hsa_circ_0017682
chr10:11356101|11371060	hsa_circ_0092695
chr10:11363169|11371060	hsa_circ_0092698
chr10:11367815|11371008	hsa_circ_0092699
chr10:1139391|1142186	hsa_circ_0017461
chr10:1139391|1151207	hsa_circ_0017462
chr10:114198093|114203364	hsa_circ_0092704
chr10:114210211|114210399	hsa_circ_0092705
chr10:1142109|1142186	hsa_circ_0017463
chr10:1142109|1151207	hsa_circ_0017464
chr10:114220282|114224416	hsa_circ_0020045
chr10:114286845|114298089	hsa_circ_0002533
chr10:1145645|1145775	hsa_circ_0092707
chr10:114646676|114665972	hsa_circ_0092709
chr10:114648493|114665972	hsa_circ_0092710
chr10:114704017|114706175	hsa_circ_0092712
chr10:114724314|114799885	hsa_circ_0020048
chr10:114799783|114799885	hsa_circ_0020049
chr10:114799783|114849299	hsa_circ_0020050
chr10:114845805|114849299	hsa_circ_0092714
chr10:114900942|114905856	hsa_circ_0020051
chr10:114900942|114912199	hsa_circ_0020052
chr10:1149538|1151207	hsa_circ_0005792
chr10:1149538|1170964	hsa_circ_0004481
chr10:1149541|1151207	hsa_circ_0017465
chr10:1149541|1170964	hsa_circ_0005121
chr10:1151065|1170964	hsa_circ_0017467
chr10:11523768|11527910	hsa_circ_0017683
chr10:11523768|11535227	hsa_circ_0092717
chr10:11523768|11543207	hsa_circ_0092718
chr10:11523768|11551674	hsa_circ_0092719
chr10:11523768|11560573	hsa_circ_0092720
chr10:11523768|11569566	hsa_circ_0092721
chr10:11526969|11543207	hsa_circ_0017684
chr10:11526969|11569566	hsa_circ_0017685
chr10:11531100|11569566	hsa_circ_0092722
chr10:11543099|11560573	hsa_circ_0092723
chr10:11543099|11569566	hsa_circ_0017687
chr10:115486063|115490282	hsa_circ_0092724
chr10:11551593|11569566	hsa_circ_0017688
chr10:11551593|11639716	hsa_circ_0092725
chr10:11560533|11569566	hsa_circ_0017689
chr10:11560533|11639716	hsa_circ_0092726
chr10:115636279|115644139	hsa_circ_0092728
chr10:115636279|115657968	hsa_circ_0092729
chr10:115636279|115664795	hsa_circ_0092730
chr10:115639332|115662352	hsa_circ_0092731
chr10:115657868|115664795	hsa_circ_0092732
chr10:115657868|115668282	hsa_circ_0006317
chr10:115662229|115664795	hsa_circ_0020055
chr10:11567384|11569566	hsa_circ_0017690
chr10:11567384|11639716	hsa_circ_0092733
chr10:115910850|115917439	hsa_circ_0092734
chr10:115910850|115923088	hsa_circ_0092735
chr10:115917312|115923088	hsa_circ_0092736
chr10:115922395|115923088	hsa_circ_0020056
chr10:116191516|116191698	hsa_circ_0092739
chr10:116194948|116195225	hsa_circ_0092740
chr10:116211382|116225586	hsa_circ_0020067
chr10:116225456|116225586	hsa_circ_0092741
chr10:116225456|116227975	hsa_circ_0020070
chr10:116225456|116251637	hsa_circ_0020071
chr10:116232735|116233715	hsa_circ_0092742
chr10:116247716|116251637	hsa_circ_0020072
chr10:11628837|11629072	hsa_circ_0092743
chr10:116304763|116307535	hsa_circ_0020073
chr10:116304763|116331165	hsa_circ_0092744
chr10:116304763|116335358	hsa_circ_0092745
chr10:116304763|116336974	hsa_circ_0092746
chr10:116331055|116335358	hsa_circ_0020074
chr10:116331055|116361720	hsa_circ_0020075
chr10:116335174|116354892	hsa_circ_0092748
chr10:11636629|11639716	hsa_circ_0092749
chr10:11639629|11643979	hsa_circ_0003978
chr10:116417715|116419097	hsa_circ_0092750
chr10:11643343|11643979	hsa_circ_0006664
chr10:116590610|116596005	hsa_circ_0020078
chr10:116590610|116603696	hsa_circ_0020079
chr10:116590610|116608496	hsa_circ_0020080
chr10:116590610|116615099	hsa_circ_0092751
chr10:116590610|116621093	hsa_circ_0020081
chr10:116592991|116596005	hsa_circ_0092752
chr10:116595295|116620648	hsa_circ_0020082
chr10:116602691|116608496	hsa_circ_0092754
chr10:116603499|116608496	hsa_circ_0006610
chr10:116603499|116615099	hsa_circ_0092755
chr10:116603499|116621093	hsa_circ_0020084
chr10:116605125|116608496	hsa_circ_0020086
chr10:116702403|116710908	hsa_circ_0020089
chr10:116710852|116734144	hsa_circ_0092756
chr10:116719484|116734144	hsa_circ_0020091
chr10:116730126|116734144	hsa_circ_0020092
chr10:116731967|116735052	hsa_circ_0092758
chr10:116873771|116889297	hsa_circ_0092759
chr10:116873771|116931050	hsa_circ_0092760
chr10:116879948|116889297	hsa_circ_0020093
chr10:116879948|116919975	hsa_circ_0092762
chr10:116879948|116925405	hsa_circ_0020094
chr10:116879948|116931050	hsa_circ_0092763
chr10:116879948|116933204	hsa_circ_0092764
chr10:116879948|116975638	hsa_circ_0092765
chr10:116975454|117001514	hsa_circ_0092773
chr10:116975454|117045907	hsa_circ_0092775
chr10:116975454|117061553	hsa_circ_0092776
chr10:116975454|117075246	hsa_circ_0020095
chr10:1170157|1170964	hsa_circ_0017469
chr10:117040864|117093929	hsa_circ_0092785
chr10:117059543|117061553	hsa_circ_0092786
chr10:117059543|117075246	hsa_circ_0092787
chr10:117059543|117093929	hsa_circ_0092788
chr10:117075027|117075246	hsa_circ_0092789
chr10:117075027|117093929	hsa_circ_0092790
chr10:117075027|117154262	hsa_circ_0092791
chr10:117154168|117228839	hsa_circ_0092793
chr10:117154168|117309046	hsa_circ_0020096
chr10:117185759|117228839	hsa_circ_0092794
chr10:117221450|117228839	hsa_circ_0092796
chr10:117221450|117278834	hsa_circ_0020097
chr10:117221450|117309046	hsa_circ_0092798
chr10:117221454|117228839	hsa_circ_0092799
chr10:117221484|117228839	hsa_circ_0092800
chr10:117221484|117309046	hsa_circ_0092801
chr10:117849251|117849433	hsa_circ_0020098
chr10:117849251|117853347	hsa_circ_0020099
chr10:117849251|117856275	hsa_circ_0005239
chr10:117849251|117885068	hsa_circ_0020100
chr10:117884731|117885068	hsa_circ_0020101
chr10:11789347|11791591	hsa_circ_0017693
chr10:11789347|11794253	hsa_circ_0017694
chr10:11789347|11797607	hsa_circ_0017695
chr10:118202566|118215342	hsa_circ_0020104
chr10:118202566|118231391	hsa_circ_0020108
chr10:118220477|118220802	hsa_circ_0020111
chr10:118451861|118466796	hsa_circ_0020116
chr10:118458145|118466796	hsa_circ_0092805
chr10:118464661|118466796	hsa_circ_0020117
