Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [cell line]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ORGANISM PART]	FactorValue [TREATMENT]
GSM901253 1	clinical localized prostate cancer tissue	Clinically localized primary prostate cancer 21	Clinically localized primary prostate cancer 21	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Primary, Prostate cancer, localized	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901253 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901253 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901253	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901253_PCA21.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901253_sample_table.txt norm	GSM901253_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Primary, Prostate cancer, localized	not specified
GSM901252 1	clinical localized prostate cancer tissue	Clinically localized primary prostate cancer 20	Clinically localized primary prostate cancer 20	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Primary, Prostate cancer, localized	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901252 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901252 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901252	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901252_PCA20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901252_sample_table.txt norm	GSM901252_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Primary, Prostate cancer, localized	not specified
GSM901251 1	clinical localized prostate cancer tissue	Clinically localized primary prostate cancer 19	Clinically localized primary prostate cancer 19	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Primary, Prostate cancer, localized	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901251 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901251 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901251	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901251_PCA19.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901251_sample_table.txt norm	GSM901251_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Primary, Prostate cancer, localized	not specified
GSM901250 1	clinical localized prostate cancer tissue	Clinically localized primary prostate cancer 18	Clinically localized primary prostate cancer 18	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Primary, Prostate cancer, localized	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901250 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901250 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901250	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901250_PCA18.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901250_sample_table.txt norm	GSM901250_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Primary, Prostate cancer, localized	not specified
GSM901249 1	clinical localized prostate cancer tissue	Clinically localized primary prostate cancer 17	Clinically localized primary prostate cancer 17	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Primary, Prostate cancer, localized	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901249 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901249 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901249	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901249_PCA17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901249_sample_table.txt norm	GSM901249_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Primary, Prostate cancer, localized	not specified
GSM901248 1	clinical localized prostate cancer tissue	Clinically localized primary prostate cancer 16	Clinically localized primary prostate cancer 16	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Primary, Prostate cancer, localized	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901248 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901248 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901248	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901248_PCA16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901248_sample_table.txt norm	GSM901248_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Primary, Prostate cancer, localized	not specified
GSM901247 1	clinical localized prostate cancer tissue	Clinically localized primary prostate cancer 15	Clinically localized primary prostate cancer 15	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Primary, Prostate cancer, localized	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901247 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901247 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901247	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901247_PCA15.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901247_sample_table.txt norm	GSM901247_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Primary, Prostate cancer, localized	not specified
GSM901246 1	clinical localized prostate cancer tissue	Clinically localized primary prostate cancer 14	Clinically localized primary prostate cancer 14	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Primary, Prostate cancer, localized	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901246 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901246 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901246	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901246_PCA14.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901246_sample_table.txt norm	GSM901246_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Primary, Prostate cancer, localized	not specified
GSM901245 1	clinical localized prostate cancer tissue	Clinically localized primary prostate cancer 13	Clinically localized primary prostate cancer 13	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Primary, Prostate cancer, localized	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901245 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901245 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901245	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901245_PCA13.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901245_sample_table.txt norm	GSM901245_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Primary, Prostate cancer, localized	not specified
GSM901244 1	clinical localized prostate cancer tissue	Clinically localized primary prostate cancer 12	Clinically localized primary prostate cancer 12	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Primary, Prostate cancer, localized	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901244 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901244 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901244	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901244_PCA12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901244_sample_table.txt norm	GSM901244_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Primary, Prostate cancer, localized	not specified
GSM901243 1	benign prostate tissue	Bening prostate tissue 11	Benign prostate tissue 11	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901243 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901243 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901243	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901243_Benign11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901243_sample_table.txt norm	GSM901243_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
GSM901242 1	benign prostate tissue	Bening prostate tissue 10	Benign prostate tissue 10	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901242 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901242 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901242	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901242_Benign10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901242_sample_table.txt norm	GSM901242_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
GSM901241 1	benign prostate tissue	Bening prostate tissue 9	Benign prostate tissue 9	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901241 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901241 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901241	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901241_Benign9.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901241_sample_table.txt norm	GSM901241_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
GSM901240 1	benign prostate tissue	Bening prostate tissue 8	Benign prostate tissue 8	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901240 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901240 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901240	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901240_Benign8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901240_sample_table.txt norm	GSM901240_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
GSM901239 1	benign prostate tissue	Bening prostate tissue 7	Benign prostate tissue 7	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901239 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901239 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901239	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901239_Benign7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901239_sample_table.txt norm	GSM901239_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
