Bootstrap	Harrells_boot	Harrells_orig	Optimism	n_Preds	Preds
15	15	0.772153989110636	0.711890281136269	0.0602637079743669	23	GTF3C1, LMTK2, SLCO5A1, GCC1, DLG3, MAPK8IP2, RNASEH2C, NDUFA1, FA2H, NFKBIL1, INPP5E, DCAF4L1, HLX, PAPSS1, FBXO43, VDR, NAV3, ZNF268, CDCA7L, DPT, SPARC, ZNF518B, gleason_score
16	16	0.751057504744675	0.716408978774334	0.0346485259703415	20	RBM47, STARD3NL, TMEM151A, RNASEH2C, RPIA, SS18L2, ALX4, RHOU, ANXA5, SSTR1, BGN, KDM8, WASF2, RAB11FIP2, ZNF804A, CRISPLD2, SLCO3A1, RPP30, SPARC, gleason_score
17	17	0.713892288861689	0.680296035758775	0.0335962531029143	16	TMEM151A, HIC2, RNASEH2C, DDAH1, ACAN, BTF3L4, SS18L2, SLX4IP, TBC1D8, DOCK6, SMCO3, BGN, BTN3A1, ALG9, RNF122, PHYHD1
18	18	0.772070255684953	0.73036320558853	0.0417070500964229	24	GCC1, CDK17, MAPK8IP2, RNASEH2C, TRAM2, FA2H, SFRP4, REG4, DCAF4L1, HLX, PDCD4, GLIPR2, TPCN2, ZNF268, SRF, ZNF287, RNF122, TMEM164, PHYHD1, HS6ST1, LIX1, SLC28A3, SPARC, gleason_score
19	19	0.756409089679293	0.720507559659021	0.035901530020272	24	BACE2, LRRC61, CDK17, CFAP44, NEU3, TMEM63C, CNBD2, POLR2L, SS18L2, SFRP4, SSTR1, SLC9B1, MSR1, CELF5, WDR93, ACVRL1, SRF, PRDM1, BHLHE40, ATAD3C, HS6ST1, LIX1, MINK1, TG
20	20	0.765750140410866	0.721995066070687	0.0437550743401787	23	MKRN1, NEU3, IAH1, DDAH1, MTERF4, RPIA, NELFB, REG4, ALX4, SSTR1, DOCK6, CLPTM1, C14orf39, BGN, WASF2, ZNF804A, PRDM1, ZNF287, BHLHE40, IFT81, FAM227B, TG, gleason_score
21	21	0.674035877286419	0.609003199726436	0.065032677559983	8	KCNS3, SS18L2, TMEM44, BICD2, TPCN2, COL19A1, SLC2A4, ADGRG6
22	22	0.712058278941085	0.667934344544589	0.0441239343964962	20	ZNF623, REPS1, TMEM63C, KCNS3, ELAVL2, SARNP, SLX4IP, SFRP4, C1orf53, TMEM44, DOCK6, CCNT2, LZIC, ATP1B3, NUS1, BHLHE40, BTN3A1, B4GALT1, HPD, TG
23	23	0.766522597748801	0.719100657043062	0.0474219407057387	27	RBM47, KCNC2, HIC2, PREB, KIF21A, NEU3, RNASEH2C, NET1, ZFPL1, SLC39A5, SCRIB, SLX4IP, GALNT11, DNASE1L1, SFRP4, DCAF4L1, HLX, SRF, RAB11FIP2, ADAMTSL3, LZIC, MIS12, BTN3A1, FAM227B, TMEM164, PHYHD1, SPARC
24	24	0.772224543406955	0.715639578906231	0.0565849645007239	20	SLCO5A1, NEU3, RNASEH2C, ZFPL1, RPIA, POLR2L, ATP6AP1, SFRP4, MAEA, SSTR1, FBXO43, BUD31, PDCD4, KL, LAMC1, SLC35G1, BTN3A1, SLC28A3, ZNF518B, gleason_score
25	25	0.75964094053229	0.715654234141814	0.0439867063904761	23	RBM47, UQCRB, PRR13, RNASEH2C, UROS, TMSB10, INSM2, COX6C, CLPTM1, CELF5, ACVRL1, HMGCLL1, RAB11FIP2, PRDM1, LMO2, GLUL, NUS1, CTDSP2, RNF122, MCM3, IGSF9B, SPARC, gleason_score
26	26	0.739242687045691	0.694570235216531	0.0446724518291597	16	RBM47, KIF21A, RNASEH2C, DIRAS2, SFRP4, TBC1D8, HLX, SSTR1, SLC9B1, PDCD4, CALML5, BTN3A1, SLC2A4, ATAD3C, PHYHD1, RFXAP
27	27	0.7690735397522	0.700168535209203	0.068905004542997	21	ARL8A, TMEM151A, TMEM192, NEU3, ZNF138, MTERF4, POLR2L, DCAF4L1, C19orf81, COX6C, PAPSS1, SMCO3, ST3GAL3, ACVRL1, SLC39A14, PRDM1, LMO2, SLC2A1, LIX1, DUSP3, SPARC
28	28	0.75549700186545	0.730255733860922	0.0252412680045279	25	SLC12A7, KIF21A, STK35, POFUT2, SEC31B, MTERF4, NDUFA1, FA2H, SS18L2, SLX4IP, SFRP4, TBC1D8, SCFD1, SSTR1, COX6C, C14orf39, PDCD4, CDKN1A, ITSN1, TPCN2, RAB11FIP2, USO1, BTN3A1, SPARC, gleason_score
29	29	0.71676424124152	0.680703939815833	0.0360603014256878	18	COPB2, GCC1, KIF21A, CDK17, TRAM2, MTERF4, MSANTD1, DCAF4L1, SSTR1, ST3GAL3, BGN, SLC35G1, KREMEN1, ZFR, PRDM1, FADS2, BHLHE40, gleason_score
30	30	0.782046077839272	0.702427884028236	0.0796181938110363	23	GPR37, KCNC2, STARD3NL, BACE2, HIC2, UBE2E3, NPAS2, TMEM63C, BRSK2, DDAH1, TMSB10, RPIA, TBC1D8, INHBB, DOCK6, CELF5, BGN, PDCD4, HIF1A, ATP1B3, BHLHE40, LIX1, SIAH3
31	31	0.771445261635537	0.709977772892699	0.061467488742838	27	MKRN1, KCNC2, SLCO5A1, REPS1, IAH1, KCNS3, RNASEH2C, ZNF138, DCAF4L1, HLX, ZBTB3, SSTR1, PAPSS1, FBXO43, CELF5, EBF2, B3GAT1, OGFOD1, TCEANC2, EIF4G2, ABCA12, BHLHE40, ASB4, MUC6, LIX1, COX10, SPARC
32	32	0.536543685416567	0.517531368387114	0.0190123170294526	3	TRAM2, CELF5, MAOB
33	33	0.744988336533513	0.720856842773748	0.0241314937597659	22	BACE2, PRR13, IAH1, UROS, FMO5, POLR2L, SNRPE, SARNP, SLX4IP, SFRP4, SSTR1, SLC9B1, ST3GAL3, TNS4, ASCC3, TPCN2, PCNP, SLC22A3, LIX1, DPT, SPARC, gleason_score
34	34	0.74560190806383	0.71570308492709	0.0298988231367395	27	TSC22D4, KIF21A, CDK17, MAPK8IP2, IAH1, IBA57, RNASEH2C, ZNF664, GSAP, COX6C, CTHRC1, CATSPERG, BGN, PDCD4, PPP3CB, TMEM109, TPCN2, ZNF268, SRF, STARD5, LMO2, ZNF287, BTN3A1, PADI4, RFXAP, SPARC, gleason_score
35	35	0.719133685978129	0.682320900808481	0.0368127851696484	17	REPS1, NEU3, RNASEH2C, MIEN1, POLR2L, MZB1, SSTR1, SLC35G1, ACVRL1, TPCN2, ZNF268, ZNF804A, ZNF791, ZNF287, RNF122, SLC28A3, SPARC
36	36	0.753511039686976	0.721347793165775	0.0321632465212009	22	SLCO5A1, SCAMP5, POFUT2, CNBD2, DLGAP2, SS18L2, SSTR1, FBXO43, CELF5, BGN, PDCD4, GLIPR2, RAB11FIP2, ZNF804A, LMO2, BHLHE40, FAM227B, RNF122, LIX1, SPARC, ZNF561, gleason_score
37	37	0.74266800420188	0.697071395422681	0.045596608779198	16	DEDD, DHTKD1, PACS1, NEU3, ASPHD1, RNASEH2C, UROS, IGSF22, HLX, ZBTB3, CELF5, WDR93, IPO5, ZMYM1, SLC2A4, gleason_score
38	38	0.724579318279879	0.694452993331868	0.0301263249480114	12	TRIB1, NEU3, RHOU, SSTR1, BGN, PDCD4, CDKN1A, RAB11FIP2, SLC5A9, PRDM1, ABCA12, BTN3A1
39	39	0.737645748343604	0.705363816223346	0.0322819321202586	14	POFUT2, GMCL1, REG4, SSTR1, SLC9B1, DOCK6, LRTM2, PDCD4, SRF, EIF4G2, RAB34, LIX1, SPARC, gleason_score
40	40	0.75659120399568	0.717190591338756	0.0394006126569237	21	PM20D2, PRR13, DLG3, YKT6, NDUFA1, FA2H, SS18L2, TBC1D8, AGRN, SSTR1, PAPSS1, B3GAT1, BGN, ECHDC3, ACVRL1, DHX38, RAB11FIP2, LMO2, ANKRD53, RNF122, LIX1
41	42	0.625175483138684	0.589072079333675	0.0361034038050085	3	RNASEH2C, SMCO3, RNF122
42	43	0.773368826775365	0.70023692630859	0.0731319004667749	22	BACE2, RNASEH2C, CNBD2, MIEN1, SS18L2, DCAF4L1, HCST, INHBB, HLX, BGN, ANKFY1, CEP85L, FADS1, MASP1, DHX40, HSD11B1, FAM227B, SLC2A4, LIX1, ADGRG6, B4GALT1, ZNF518B
43	44	0.765446928807677	0.729671966976869	0.0357749618308074	20	PGM2L1, ZNF623, TMC5, PACS1, NPAS2, NEU3, RNASEH2C, TRAM2, POLR2L, SSTR1, CTHRC1, PDCD4, VDR, FADS1, DHX38, LMO2, BHLHE40, SLC2A4, SPARC, gleason_score
44	45	0.733843125633928	0.685462006301751	0.0483811193321765	19	RBM47, TRIB1, C3orf62, EPHA8, REG4, DCAF4L1, DOCK6, TXLNB, SMCO3, PDCD4, ITSN1, ABHD13, PLEKHM3, TPCN2, HBS1L, DSC3, DUSP3, SPARC, gleason_score
45	46	0.767427786756753	0.707232358760167	0.0601954279965864	20	TMC5, CDK17, RNASEH2C, TRAM2, NDUFA1, SSTR1, PDCD4, JAG2, KAZN, TPCN2, PER1, ZNF268, LMO2, ZNF287, CDCA7L, SLC22A3, SLC2A1, LIX1, SPARC, SIAH3
46	47	0.720524969664942	0.6976844727779	0.022840496887042	18	CHRM1, CDK17, DLG3, CNP, ZNF138, IFRD1, TTC31, TBC1D8, DCAF4L1, SSTR1, CELF5, ST3GAL3, BGN, RAB11FIP2, CDCA7L, BHLHE40, IGSF9B, gleason_score
47	48	0.767880394063348	0.720190029554725	0.0476903645086229	22	SLCO5A1, PRR13, PRPF39, IAH1, IBA57, RNASEH2C, SFRP4, REG4, SSTR1, CELF5, ST3GAL3, BGN, ECHDC3, SLC39A14, TPCN2, DHX40, ZNF287, FADS2, BHLHE40, MUC6, LIX1, gleason_score
48	49	0.728142801245382	0.694240492415916	0.0339023088294663	8	NEU3, SLX4IP, BGN, SLC39A14, RAB11FIP2, ZNF585B, SPARC, gleason_score
49	50	0.750944468590151	0.722715615153514	0.0282288534366371	23	STARD3NL, BACE2, HIC2, NEU3, RNASEH2C, CNBD2, MIEN1, SFRP4, AGRN, SSTR1, SMCO3, CELF5, B3GAT1, PLIN1, ST3GAL3, ACVRL1, ZMYM1, SRF, FAM227B, RPS6KL1, PHYHD1, LIX1, OPA1
50	51	0.753110712425488	0.714562419090887	0.0385482933346006	25	GSK3A, BACE2, FAM117B, SGSM2, NPAS2, MAPK8IP2, UROS, NET1, TRAM2, SFRP4, AGRN, REG4, SLC9B1, COX6C, BGN, CEP85L, PDCD4, GLIPR2, SRF, ZNF287, RNF122, ATAD3C, LIX1, RFXAP, COX10
51	52	0.731374140902896	0.693554138882783	0.0378200020201136	16	RNASEH2C, UROS, MIEN1, SS18L2, SLX4IP, SH3RF1, DCAF4L1, SSTR1, CCNT2, CDCP1, BHLHE40, FAM227B, SLC2A4, PHYHD1, RNMT, SPARC
52	53	0.700930784140794	0.646549913289856	0.0543808708509373	16	SCAMP5, SP5, CRTC1, KCNS3, RNASEH2C, ELAVL2, DCAF4L1, MIOS, CELF5, B3GAT1, PDCD4, WWTR1, GLIPR2, LMO2, LIX1, PAPPA
53	54	0.786818450293477	0.729982169463374	0.0568362808301029	30	CPSF4, BACE2, NEU3, KCNS3, RNASEH2C, ACAN, ZFPL1, MTERF4, RPIA, C2orf68, SARNP, FOXL2, SFRP4, AGRN, SH3RF1, HLX, SSTR1, MTERF2, CHRM3, KDM8, CHST4, GSR, ACVRL1, TCEANC2, ZNF287, NUS1, FAM227B, SCNN1G, LIX1, gleason_score
54	55	0.777730313297929	0.726335458342493	0.0513948549554363	29	MKRN1, SUOX, TRIB1, DECR1, CHRM1, DLG3, STK35, KCNS3, CNBD2, ZFPL1, TRAM2, MTERF4, HBQ1, FOXL2, NELFB, IGSF22, SSTR1, SMCO3, B3GAT1, SLC35G1, JAG2, KREMEN1, LMO2, GLUL, RNF122, ANXA2, RNMT, SPARC, gleason_score
55	56	0.786794903924346	0.723778119733275	0.0630167841910717	25	NEU3, DLG3, ACAN, TRIM24, TTC31, DCAF4L1, YPEL1, SLC13A3, SSTR1, SLC9B1, DOCK6, PLIN1, BGN, PDCD4, BICD2, SLC35G1, AQP4, GLIPR2, NFIC, TMF1, BHLHE40, ATAD3C, SPARC, ZNF518B, gleason_score
56	57	0.733480687518293	0.699044967147847	0.0344357203704463	15	RBM47, ZNF623, YKT6, ZFPL1, FOXL2, SLC9B1, DHX40, AKAP10, BTN3A1, SLC2A4, LGI3, PHYHD1, PPP4R4, TG, gleason_score
57	58	0.751585413202983	0.724359444078064	0.0272259691249191	21	GSK3A, NPAS2, RNASEH2C, DDAH1, NCALD, NDUFA1, RPIA, POLR2L, SLX4IP, HLX, SSTR1, SMCO3, CATSPERG, ACVRL1, PRDM1, LMO2, HBS1L, NUS1, FAM227B, LIX1, gleason_score
58	59	0.746115014162956	0.696365501575438	0.0497495125875184	24	ZNF623, LRIF1, NPAS2, NEU3, RNASEH2C, GRHL2, ZFPL1, SFRP4, SH3RF1, GLP1R, FBXO43, SMCO3, PABPC1L2A, KL, WNT2B, ZNF287, NUS1, FAM227B, SLC2A4, TH, PPM1F, PHYHD1, LIX1, PWP1
59	60	0.774679487955234	0.710478493441782	0.0642009945134514	22	HIC2, LRIF1, NPAS2, KIF21A, RNASEH2C, ZNF830, ZFPL1, NDUFA1, DCAF4L1, RHOU, CTHRC1, ST3GAL3, PDCD4, ACVRL1, TPCN2, MED6, SLC2A4, CRISPLD2, TOE1, SLC22A3, DUSP3, gleason_score
60	61	0.77703552242218	0.712403214381671	0.0646323080405083	19	GSK3A, GTF3C1, C3orf62, TMEM63C, KCNS3, RNASEH2C, SLC22A23, FA2H, SS18L2, SLX4IP, FOXL2, SFRP4, DOCK6, CELF5, C14orf39, ST3GAL3, BGN, FAM227B, gleason_score
61	62	0.749994047930823	0.712569307051611	0.0374247408792118	23	THYN1, KCNC2, TRIM59, DLG3, CRTC1, RNASEH2C, ORMDL1, ABHD10, POLR2L, DNASE1L1, TMPRSS11F, DCAF4L1, HLX, SSTR1, SMCO3, CELF5, PDCD4, LMO2, BHLHE40, PKHD1L1, LIX1, ZNF518B, gleason_score
62	63	0.740103012957481	0.704811802349723	0.0352912106077585	12	TMEM151A, FA2H, COX6C, DOCK6, SMCO3, ST3GAL3, BGN, OGFOD1, RNF122, PHYHD1, KLK5, gleason_score
63	64	0.771012609000911	0.716377225763904	0.0546353832370068	28	DEDD, LETMD1, IAH1, RNASEH2C, MTERF4, MIEN1, FA2H, SS18L2, FOXL2, SFRP4, DCAF4L1, YPEL1, SSTR1, COX6C, ST3GAL3, WDR93, SLC35G1, AQP4, WASF2, GLIPR2, FRMD5, CENPQ, PRDM1, NUS1, BHLHE40, RNF122, TTPA, gleason_score
64	65	0.698782347898598	0.668911360250116	0.0298709876484824	16	PGM2L1, KCNC2, STK35, POFUT2, IAH1, CNBD2, FRAT1, TBC1D8, DCAF4L1, PDCD4, SLC39A14, ZNF268, ABCA12, LIX1, DPT, B4GALT1
65	66	0.767979627769316	0.719293617644904	0.0486860101244126	20	KCNC2, ZNF623, TMC5, TMEM151A, SLCO5A1, LRIF1, NPAS2, NFXL1, POLR2L, SH3RF1, GALNT10, SSTR1, PAPSS1, CELF5, BGN, RAB34, LIX1, DRAM1, SPARC, gleason_score
66	67	0.762931968856694	0.719904252460858	0.0430277163958355	25	HNRNPA0, DLG3, SP5, BRSK2, RNASEH2C, CNBD2, NET1, SS18L2, HBQ1, MZB1, YPEL1, COX6C, COL2A1, PLIN1, BGN, CDKN1A, GLIPR2, TCEANC2, LMO2, NUS1, FAM227B, SLC2A4, IPO8, ZNF518B, gleason_score
67	68	0.722803097000797	0.673049021763025	0.0497540752377719	10	BACE2, IAH1, LINGO1, CDK10, SLC9B1, COX6C, BGN, TPCN2, RNF214, gleason_score
68	69	0.778238703920344	0.725702840673164	0.0525358632471805	28	RBM47, ZNF281, SIX4, DLG3, ING5, RNASEH2C, NXPH1, DCAF4L1, SSTR1, SMCO3, CELF5, KDM8, CACNA2D2, OGFOD1, TEAD3, SRF, EHF, RAB11FIP2, RNF168, DHX40, ZNF804A, LMO2, ZNF287, ATAD3C, DRAM1, DPT, SPARC, gleason_score
69	70	0.765977343041243	0.724828411616717	0.0411489314245262	26	NEU3, RNASEH2C, YKT6, NCALD, CNBD2, PPA2, MTERF4, NDUFA1, SS18L2, HBQ1, MAEA, ZBTB3, SSTR1, CELF5, ST3GAL3, BGN, CACNA2D2, EPSTI1, TPCN2, SRF, LMO2, BHLHE40, SLC2A4, CSNK2A2, SPARC, gleason_score
70	71	0.734425530141248	0.715944896314208	0.0184806338270401	19	RBM47, CHRM1, PRR13, NEU3, KCNS3, ABHD10, POLR2L, SLX4IP, SFRP4, SMCO3, PLIN1, EPSTI1, SLC39A14, RAB11FIP2, ZNF287, BTN3A1, PHYHD1, CSNK2A2, SPARC
71	72	0.767025997258555	0.723758579419164	0.0432674178393911	26	TMC5, PACS1, PFKFB2, SLCO5A1, NPAS2, POFUT2, IAH1, FAM43B, CNBD2, TRAM2, SCRIB, ABHD10, SLX4IP, SSTR1, DOCK6, CTHRC1, BGN, LRTM2, CDKN1A, SLC35G1, PRDM1, SLC22A2, BHLHE40, LIX1, TG, gleason_score
72	73	0.747120480278468	0.681822622798662	0.0652978574798061	21	PGM2L1, DHTKD1, LRIF1, NPAS2, RNASEH2C, SNRPE, CBLB, TMEM54, SFRP4, PILRA, YPEL1, C1orf53, MIOS, TMEM44, DOCK6, TNS4, SLC39A14, TPCN2, MASP1, SRF, CUL5
73	74	0.736916466926439	0.694812046603649	0.0421044203227894	22	TRIB1, LRIF1, BRSK2, CNBD2, MTERF4, CAMLG, FOXL2, AGRN, IGSF22, MZB1, DCAF4L1, HLX, TNS4, PRDM1, WDR59, ALG9, RNF122, TMEM164, DPT, SPARC, ZNF518B, gleason_score
74	75	0.750132105730735	0.71618915024059	0.0339429554901449	18	ZNF768, LRIF1, TMEM63C, RNASEH2C, TRAM2, HBQ1, SFRP4, TBC1D8, DCAF4L1, SSTR1, CHRM3, OGFOD1, FRMD5, SYNC, LIX1, SPARC, ZNF518B, gleason_score
75	76	0.741947083869196	0.704267116093891	0.0376799677753042	21	ZNF623, HIC2, RNASEH2C, MIEN1, NDUFA1, C2orf68, FA2H, YPEL1, IFI27L1, HLX, SLC35F3, DOCK6, ST3GAL3, BGN, BICD2, RAB11FIP2, LMO2, BHLHE40, LGI3, PHYHD1, gleason_score
76	77	0.777281813090249	0.706367699860775	0.0709141132294736	24	ZNF623, CPSF4, SLCO5A1, MAPK8IP2, IAH1, RNASEH2C, SLC22A23, TBCC, SFRP4, REG4, DCAF4L1, SMCO3, CELF5, ST3GAL3, OGFOD1, EPSTI1, KAZN, ZNF546, BHLHE40, NSRP1, SLC2A1, DUSP3, SPARC, gleason_score
77	78	0.76077877178151	0.690925966634914	0.0698528051465961	20	TRIB1, SMG9, NEU3, DLG3, IAH1, RNASEH2C, CNBD2, DYNC2LI1, SFRP4, IGSF22, MAEA, ZBTB3, SSTR1, DOCK6, LMO2, TMF1, PHYHD1, TTPA, SLC36A4, CSNK2A2
78	79	0.760960319223877	0.713517012285973	0.0474433069379049	17	KIF21A, NEU3, RNASEH2C, TMSB10, MIEN1, GLP1R, SSTR1, CTHRC1, C14orf39, ST3GAL3, BGN, SLC35G1, NUS1, RNF122, PHYHD1, PWP1, gleason_score
79	80	0.760358359814694	0.71281844605652	0.0475399137581739	16	ZNF623, STARD3NL, TMC5, MIEN1, RPIA, POLR2L, DCAF4L1, C1orf53, SSTR1, B3GAT1, LAMC1, IPO11, LIX1, CSNK2A2, DPT, gleason_score
80	81	0.766266005042676	0.717222344349185	0.0490436606934904	25	CHRM1, NPAS2, TMEM63C, RNASEH2C, DDAH1, TMSB10, NDUFA1, RPIA, FA2H, SS18L2, DNASE1L1, TMEM54, DCAF4L1, CTHRC1, BGN, WDR93, KL, ECHDC3, GLIPR2, ITGA5, ATP1B3, TMF1, ZFP28, PHYHD1, gleason_score
81	82	0.77256928639622	0.738855914608827	0.0337133717873931	28	HNRNPA0, ZNF623, TMC5, PFKFB2, NPAS2, CDK17, DLG3, RNASEH2C, ZNF138, RPIA, SLC22A23, SS18L2, TMEM54, SFRP4, REG4, COX6C, PDCD4, ITSN1, EIF4G2, ATP1B3, NUS1, CALML5, BHLHE40, FAM227B, LIX1, SPARC, ZNF518B, gleason_score
82	83	0.767671345995045	0.72090325101976	0.0467680949752852	27	FBXO45, ARL8A, SLCO5A1, NPAS2, NEU3, CRTC1, RNASEH2C, UROS, FMO5, FA2H, DNASE1L1, NFKBIL1, SFRP4, REG4, SSTR1, EIF2B1, KCNK9, BGN, LRTM2, GLIPR2, SRF, EYS, DHX40, NUS1, CRISPLD2, SCNN1G, SPARC
83	84	0.793545899832445	0.708837107056496	0.0847087927759486	23	YWHAG, CDK17, DLG3, GJB2, ZNF138, ZNF830, POLR2L, REG4, PON2, C1orf216, NKAIN1, SLC35G1, ACVRL1, TPCN2, RAB11FIP2, SNAI2, RBL1, FAM227B, LIX1, RFXAP, CSNK2A2, SIAH3, gleason_score
84	85	0.790798101637287	0.717500793825261	0.0732973078120264	28	STARD3NL, LRIF1, GCC1, NEU3, IAH1, KCNS3, SLC25A21, FOXL2, DCAF4L1, PILRA, C1orf53, SMCO3, CATSPERG, ST3GAL3, BGN, WDR93, LAMC1, WNT2B, PLAT, ACVRL1, PLEKHM3, SRF, ACTR3, ZNF804A, PRDM1, BHLHE40, ATAD3C, gleason_score
85	86	0.766199117798016	0.731728585037005	0.0344705327610114	25	CDK17, IAH1, RNASEH2C, MTERF4, FOXL2, REG4, SH3RF1, GLP1R, SSTR1, SMCO3, CHRM3, ST3GAL3, BGN, SLC39A14, ZNF268, PRDM1, ZNF287, CDCA7L, BHLHE40, FAM227B, LIX1, DUSP3, B4GALT1, SPARC, gleason_score
86	87	0.772688298313552	0.73762975989839	0.0350585384151613	24	RBM47, PRR13, REPS1, NEU3, CRTC1, MAPK8IP2, IAH1, RNASEH2C, CNBD2, FA2H, SFRP4, RHOU, COX6C, KMO, CELF5, ST3GAL3, PPP3CB, SLC35G1, ACVRL1, FAM227B, RNF122, PHYHD1, LIX1, gleason_score
87	88	0.767044766479635	0.702278889133143	0.0647658773464922	20	ARL8A, LRIF1, NEU3, STK35, RNASEH2C, SLX4IP, SFRP4, SLC9B1, DOCK6, ST3GAL3, ZNF460, GLIPR2, DHX38, SNAI2, FADS2, BHLHE40, MUC6, BTN3A1, SLC2A4, PHYHD1
88	89	0.770423916851571	0.716477369873721	0.05394654697785	23	DHTKD1, LETMD1, CDK17, NEU3, RNASEH2C, UROS, TMSB10, NDUFA1, ZNF664, SLX4IP, DNASE1L1, COX20, DCAF4L1, HLX, FBXO43, CELF5, ST3GAL3, NAV3, ABCA12, FAM227B, SCNN1G, LIX1, gleason_score
89	90	0.732891162971007	0.662160181724921	0.070730981246086	26	HIC2, FAM171A1, LRIF1, KIF21A, DLG3, MAPK8IP2, RNASEH2C, UROS, CNBD2, MIEN1, CATSPERB, DNASE1L1, SFRP4, TMPRSS11F, DCAF4L1, CCDC120, SMCO3, CHST4, SRRD, ARSB, DHX40, MAK16, SNAI2, ZNF287, PRMT9, PAPPA
